name, ,Column1,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10
playvoice,1,download/adv/voice/character/1002/adu100206_02_18.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「是身體擅自有反應而已……嗯、嗯、嗯嗯唔唔！」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
bg,download/character/100206/adv/image/203.jpg,0.5,255
endwait,
playvoice,1,download/adv/voice/character/1002/adu100206_02_19.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「哈啊、嗯嗯嗯唔！　咿唔……啊啊啊……呼啊……啊啊啊嗯！？\n你，你的在我身體裏、面攪動著……哈啊、嗯……啊……咿唔！」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_20.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「啊……嗯、啊啊啊啊！　呀、嗯……哈啊、嗯嗯……\n你的肉棒……頂到了、最深處……！」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_21.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「呼啊、啊啊嗯……！　好，好棒……啊……\n你的那個、每次在我體內抽插……嗯啊、哈、啊啊！」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_22.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「呀啊、嗯嗯……哈啊、呀、嗯、啊啊……當你的頂到深處時……\n快感……哈啊、嗯嗯……就不斷高漲……！」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_23.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「咕、呀啊……嗯嗯、啊、啊啊……呼啊啊……！\n咿啊……哈啊、咿唔唔、嗯咕、嗯、啊啊啊唔……！」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_24.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「腰、腰的動作……哈啊、嗯嗯……越來越快……\n不行，這樣子……啊啊……咿唔、嗯嗯唔……啊、咿唔……啊啊啊！」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_25.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「這樣不斷、撞擊深處的話、我……舒服得\n根本停不下來……啊呼、嗯、呀、啊啊、呼啊、啊啊！」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_26.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「不行了……舒服、忍不住了……！\n我……偶……呀、啊啊啊……嗯嗯唔、哈啊、咿唔唔！」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_27.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「好膩害、膩害……呀、嗯嗯……哈啊、咕唔、呀啊……！\n我整個人……都要壞掉了啦……啊、咕唔嗯……呼啊啊啊」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_28.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「快感……嗯、啊啊、咿唔、嗯嗯……一波又一波……\n已經、不行……哈啊、嗯嗯唔……忍不住——呀、啊……咕唔嗯！？」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_29.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「啊、嗯嗯唔……哈啊、咿唔、咕唔、啊……！\n極、極限了……要來、不行……我、我要……！」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_30.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「哈啊、嗯嗯……哈啊、咿唔、咕唔、啊啊啊……！　去了……\n偶、偶……要去了……！」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_31.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「嗯、哈啊、啊嗯、啊……哈啊、啊、咕唔、啊、嗯咕、啊、啊啊——」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
flash,255,255,255,4,0.3,1.0
bg,download/character/100206/adv/image/204.jpg,0.5,255
endwait,
msg,1,<size=31><outline width=2 color=black>「——啊、哈啊啊啊啊啊啊啊啊啊啊啊啊！！」</outline></size>,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_32.mp3,,,,,,,,,,
clickwait,,,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「嗯、啊啊……哈啊、嗯、啊……哈啊、啊啊啊……\n射、射了……滾燙的……在、在肚子裏面……」</outline></size>,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_33.mp3,,,,,,,,,,
clickwait,,,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_34.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「你那個兇猛抖動著……嗯嗯唔、啊啊……\n在我的身體深處，噗噗地噴湧……」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_35.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「嗯、啊啊……被中出著……高潮了啊……嗯、啊、啊啊~……」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_36.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「不行了……偶、偶……眼前一片空白……\n意識要飛走了——啊」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
name,,,,,,,,,,,
msg,0,,,,,,,,,,,
endwait,,,,,,,,,,,
bg,color_0_0_0,1,255
endwait,,,,,,,,,,,
name, 
msg,0,<size=31><outline width=2 color=black>……。</outline></size>,
clickwait
msg,0,<size=31><outline width=2 color=black>…………。</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
msg,0,<size=31><outline width=2 color=black>………………。</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
name,<size=27><outline width=2 color=black>布麗吉特・芭德薇</outline></size>,,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_37.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「——瞧你都給我幹了什麼好事啊？」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_38.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「真是恨不得把你手撕成兩半……不過，\n今天就放你一馬好了」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_39.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「畢竟我也，那個……舒服了……」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_40.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「但是……！　下不為例！\n別怪我沒警告你，聽清楚了嗎？」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
fadeinblack,0.5,,,,,,,,,,,
endwait,,,,,,,,,,,,
name, ,,,,,,,,,,,
endwmsg, ,,,,,,,,,,,
spriteoff,all,0.5,,,,,,,,,,
endwait,,,,,,,,,,,,
bgoff,1.0,,,,,,,,,,,
stopbgm,,,,,,,,,,,,
endwait,,,,,,,,,,,,
